sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11290,성북구,빌딩,off,276.388,277.74,277.064,Index Scan using,idx_msp_pnu,1,,y
11290,성북구,타워,on,371.078,371.632,371.355,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11290,성북구,타워,off,208.68,208.51,208.595,Seq Scan on,building,242631,,y
11290,성북구,상가,on,383.888,385.548,384.718,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11290,성북구,상가,off,206.929,204.263,205.596,Seq Scan on,building,242631,,y
11290,성북구,플라자,on,0.913,0.887,0.9,Index Scan using,idx_msp_pnu,1,,y
11290,성북구,플라자,off,194.653,196.75,195.702,Seq Scan on,building,242631,,y
11305,강북구,빌딩,on,449.596,451.656,450.626,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11305,강북구,빌딩,off,277.888,277.482,277.685,Index Scan using,idx_msp_pnu,1,,y
11305,강북구,타워,on,371.32,371.171,371.245,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11305,강북구,타워,off,209.157,208.692,208.925,Seq Scan on,building,242631,,y
11305,강북구,상가,on,387.472,387.09,387.281,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11305,강북구,상가,off,203.83,203.939,203.885,Seq Scan on,building,242631,,y
11305,강북구,플라자,on,0.735,0.724,0.73,Index Scan using,idx_msp_pnu,1,,y
11305,강북구,플라자,off,196.059,194.312,195.185,Seq Scan on,building,242631,,y
11320,도봉구,빌딩,on,449.751,448.811,449.281,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11320,도봉구,빌딩,off,275.17,274.519,274.845,Index Scan using,idx_msp_pnu,1,,y
11320,도봉구,타워,on,371.068,370.436,370.752,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11320,도봉구,타워,off,205.529,205.29,205.409,Seq Scan on,building,242631,,y
11320,도봉구,상가,on,384.678,384.026,384.352,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11320,도봉구,상가,off,202.731,202.711,202.721,Seq Scan on,building,242631,,y
11320,도봉구,플라자,on,0.715,0.675,0.695,Index Scan using,idx_msp_pnu,1,,y
11320,도봉구,플라자,off,193.422,195.13,194.276,Seq Scan on,building,242631,,y
11350,노원구,빌딩,on,451.549,451.009,451.279,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11350,노원구,빌딩,off,274.964,277.034,275.999,Index Scan using,idx_msp_pnu,1,,y
11350,노원구,타워,on,370.007,371.084,370.546,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11350,노원구,타워,off,207.47,207.033,207.251,Seq Scan on,building,242631,,y
11350,노원구,상가,on,384.524,384.338,384.431,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11350,노원구,상가,off,202.57,203.5,203.035,Seq Scan on,building,242631,,y
11350,노원구,플라자,on,0.845,0.835,0.84,Index Scan using,idx_msp_pnu,1,,y
11350,노원구,플라자,off,192.089,192.486,192.287,Seq Scan on,building,242631,,y
11380,은평구,빌딩,on,453.554,452.916,453.235,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11380,은평구,빌딩,off,383.963,374.441,379.202,Index Scan using,idx_msp_pnu,1,,y
11380,은평구,타워,on,372.354,373.708,373.031,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11380,은평구,타워,off,296.956,257.138,277.047,Seq Scan on,building,242631,,y
11380,은평구,상가,on,424.114,458.815,441.464,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11380,은평구,상가,off,244.944,252.342,248.643,Seq Scan on,building,242631,,y
11380,은평구,플라자,on,0.931,0.821,0.876,Index Scan using,idx_msp_pnu,1,,y
11380,은평구,플라자,off,268.744,250.601,259.673,Seq Scan on,building,242631,,y
11410,서대문구,빌딩,on,455.305,448.69,451.998,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11410,서대문구,빌딩,off,276.677,274.576,275.627,Index Scan using,idx_msp_pnu,1,,y
11410,서대문구,타워,on,372.954,371.931,372.442,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11410,서대문구,타워,off,208.398,206.262,207.33,Seq Scan on,building,242631,,y
11410,서대문구,상가,on,386.186,383.871,385.029,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11410,서대문구,상가,off,201.813,201.888,201.851,Seq Scan on,building,242631,,y
11410,서대문구,플라자,on,0.724,0.745,0.734,Index Scan using,idx_msp_pnu,1,,y
11410,서대문구,플라자,off,194.17,192.529,193.349,Seq Scan on,building,242631,,y
11440,마포구,빌딩,on,462.326,462.11,462.218,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11440,마포구,빌딩,off,289.297,289.233,289.265,Index Scan using,idx_msp_pnu,1,,y
11440,마포구,타워,on,372.511,374.539,373.525,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11440,마포구,타워,off,210.028,210.01,210.019,Seq Scan on,building,242631,,y
11440,마포구,상가,on,384.294,387.694,385.994,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11440,마포구,상가,off,205.244,205.285,205.264,Seq Scan on,building,242631,,y
11440,마포구,플라자,on,0.946,0.939,0.942,Index Scan using,idx_msp_pnu,1,,y
11440,마포구,플라자,off,199.019,196.53,197.774,Seq Scan on,building,242631,,y
11470,양천구,빌딩,on,458.779,458.253,458.516,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11470,양천구,빌딩,off,278.538,277.585,278.062,Index Scan using,idx_msp_pnu,1,,y
11470,양천구,타워,on,378.306,379.893,379.099,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11470,양천구,타워,off,207.146,207.89,207.518,Seq Scan on,building,242631,,y
11470,양천구,상가,on,391.734,395.211,393.472,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11470,양천구,상가,off,203.512,202.811,203.161,Seq Scan on,building,242631,,y
11470,양천구,플라자,on,0.787,0.794,0.79,Index Scan using,idx_msp_pnu,1,,y
11470,양천구,플라자,off,194.893,198.616,196.755,Seq Scan on,building,242631,,y
11500,강서구,빌딩,on,454.298,452.87,453.584,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11500,강서구,빌딩,off,278.955,279.132,279.043,Index Scan using,idx_msp_pnu,1,,y
11500,강서구,타워,on,373.255,374.423,373.839,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11500,강서구,타워,off,211.65,210.285,210.968,Seq Scan on,building,242631,,y
11500,강서구,상가,on,384.116,383.263,383.689,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11500,강서구,상가,off,204.225,203.531,203.878,Seq Scan on,building,242631,,y
11500,강서구,플라자,on,0.896,0.829,0.863,Index Scan using,idx_msp_pnu,1,,y
11500,강서구,플라자,off,194.388,194.59,194.489,Seq Scan on,building,242631,,y
11530,구로구,빌딩,on,451.938,450.957,451.447,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11530,구로구,빌딩,off,275.885,275.464,275.674,Index Scan using,idx_msp_pnu,1,,y
11530,구로구,타워,on,374.696,373.276,373.986,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11530,구로구,타워,off,209.071,208.157,208.614,Seq Scan on,building,242631,,y
11530,구로구,상가,on,386.153,384.716,385.435,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11530,구로구,상가,off,202.656,204.01,203.333,Seq Scan on,building,242631,,y
11530,구로구,플라자,on,0.87,0.896,0.883,Index Scan using,idx_msp_pnu,1,,y
11530,구로구,플라자,off,194.511,194.034,194.272,Seq Scan on,building,242631,,y
11545,금천구,빌딩,on,452.089,449.751,450.92,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11545,금천구,빌딩,off,275.431,274.438,274.934,Index Scan using,idx_msp_pnu,1,,y
11545,금천구,타워,on,373.87,373.865,373.868,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11545,금천구,타워,off,208.825,208.288,208.556,Seq Scan on,building,242631,,y
11545,금천구,상가,on,385.802,384.76,385.281,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11545,금천구,상가,off,202.952,203.305,203.129,Seq Scan on,building,242631,,y
11545,금천구,플라자,on,0.679,0.683,0.681,Index Scan using,idx_msp_pnu,1,,y
11545,금천구,플라자,off,193.52,193.693,193.607,Seq Scan on,building,242631,,y
11560,영등포구,빌딩,on,450.03,449.826,449.928,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11560,영등포구,빌딩,off,279.273,279.534,279.404,Index Scan using,idx_msp_pnu,1,,y
11560,영등포구,타워,on,372.673,372.726,372.7,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11560,영등포구,타워,off,208.407,210.097,209.252,Seq Scan on,building,242631,,y
11560,영등포구,상가,on,383.421,384.688,384.054,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11560,영등포구,상가,off,203.338,203.701,203.519,Seq Scan on,building,242631,,y
11560,영등포구,플라자,on,0.871,0.842,0.857,Index Scan using,idx_msp_pnu,1,,y
11560,영등포구,플라자,off,193.868,195.346,194.607,Seq Scan on,building,242631,,y
11590,동작구,빌딩,on,456.741,454.79,455.765,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11590,동작구,빌딩,off,275.722,274.471,275.096,Index Scan using,idx_msp_pnu,1,,y
11590,동작구,타워,on,374.954,376.197,375.576,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11590,동작구,타워,off,208.098,206.77,207.434,Seq Scan on,building,242631,,y
11590,동작구,상가,on,388.197,388.555,388.376,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11590,동작구,상가,off,201.53,203.213,202.371,Seq Scan on,building,242631,,y
11590,동작구,플라자,on,0.875,0.817,0.846,Index Scan using,idx_msp_pnu,1,,y
11590,동작구,플라자,off,194.239,193.002,193.62,Seq Scan on,building,242631,,y
11620,관악구,빌딩,on,449.875,450.63,450.252,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11620,관악구,빌딩,off,278.242,278.534,278.388,Index Scan using,idx_msp_pnu,1,,y
11620,관악구,타워,on,371.694,372.044,371.869,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11620,관악구,타워,off,208.759,209.83,209.294,Seq Scan on,building,242631,,y
11620,관악구,상가,on,384.083,383.593,383.838,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11620,관악구,상가,off,205.55,205.115,205.333,Seq Scan on,building,242631,,y
11620,관악구,플라자,on,0.705,0.707,0.706,Index Scan using,idx_msp_pnu,1,,y
