sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11215,광진구,학원,off,24.157,24.204,24.181,Index Scan using,idx_mpsn_sigungu,240,6382,y
11215,광진구,공인중개사,on,44.606,45.0,44.803,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11215,광진구,공인중개사,off,44.148,43.992,44.07,Index Scan using,idx_mpsn_sigungu,579,6043,y
11215,광진구,편의점,on,1.746,1.768,1.757,Bitmap Index Scan on,idx_mpsn_sigungu,6622,,y
11215,광진구,편의점,off,5.421,5.364,5.393,Index Scan using,idx_mpsn_sigungu,7,6615,y
11215,광진구,스타벅스,on,8.712,8.781,8.747,Bitmap Index Scan on,idx_mpsn_names,731,,y
11215,광진구,스타벅스,off,13.293,13.208,13.25,Index Scan using,idx_mpsn_sigungu,23,6599,y
11215,광진구,미용실,on,10.466,10.548,10.507,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11215,광진구,미용실,off,14.023,13.67,13.846,Index Scan using,idx_mpsn_sigungu,73,6549,y
11230,동대문구,카페,on,230.331,230.034,230.183,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11230,동대문구,카페,off,23.633,23.244,23.438,Index Scan using,idx_mpsn_sigungu,182,6225,y
11230,동대문구,학원,on,233.235,233.608,233.422,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11230,동대문구,학원,off,26.32,27.179,26.749,Index Scan using,idx_mpsn_sigungu,231,6176,y
11230,동대문구,공인중개사,on,43.368,43.47,43.419,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11230,동대문구,공인중개사,off,42.976,42.699,42.837,Index Scan using,idx_mpsn_sigungu,528,5879,y
11230,동대문구,편의점,on,2.26,2.29,2.275,Bitmap Index Scan on,idx_mpsn_sigungu,6407,,y
11230,동대문구,편의점,off,5.576,5.584,5.58,Index Scan using,idx_mpsn_sigungu,9,6398,y
11230,동대문구,스타벅스,on,5.776,5.893,5.835,Bitmap Index Scan on,idx_mpsn_sigungu,6407,,y
11230,동대문구,스타벅스,off,10.121,9.75,9.936,Index Scan using,idx_mpsn_sigungu,14,6393,y
11230,동대문구,미용실,on,11.75,11.733,11.742,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11230,동대문구,미용실,off,14.823,14.799,14.811,Index Scan using,idx_mpsn_sigungu,73,6334,y
11260,중랑구,카페,on,227.939,227.943,227.941,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11260,중랑구,카페,off,20.545,20.106,20.326,Index Scan using,idx_mpsn_sigungu,162,5936,y
11260,중랑구,학원,on,230.514,230.416,230.465,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11260,중랑구,학원,off,22.942,22.696,22.819,Index Scan using,idx_mpsn_sigungu,184,5914,y
11260,중랑구,공인중개사,on,39.992,40.023,40.008,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11260,중랑구,공인중개사,off,39.672,39.687,39.679,Index Scan using,idx_mpsn_sigungu,483,5615,y
11260,중랑구,편의점,on,1.55,1.517,1.534,Bitmap Index Scan on,idx_mpsn_sigungu,6098,,y
11260,중랑구,편의점,off,4.898,5.159,5.028,Index Scan using,idx_mpsn_sigungu,6,6092,y
11260,중랑구,스타벅스,on,2.869,2.818,2.844,Bitmap Index Scan on,idx_mpsn_names,731,,y
11260,중랑구,스타벅스,off,7.079,6.794,6.936,Index Scan using,idx_mpsn_sigungu,10,6088,y
11260,중랑구,미용실,on,11.035,10.966,11.0,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11260,중랑구,미용실,off,14.226,14.339,14.283,Index Scan using,idx_mpsn_sigungu,104,5994,y
11290,성북구,카페,on,230.564,229.284,229.924,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11290,성북구,카페,off,22.627,22.215,22.421,Index Scan using,idx_mpsn_sigungu,189,6471,y
11290,성북구,학원,on,237.385,238.062,237.724,Bitmap Index Scan on,idx_mpsn_names,184924,,y
