단계,축,축값,축값이름,검증거래수,추정성립수,커버리지,MdAPE,MAPE,적중률20
BASE,구,11710,송파구,123,123,1.0,0.299964,0.463019,0.349593
BASE,구,11740,강동구,102,102,1.0,0.400284,0.523661,0.27451
BASE,구,30110,동구,69,69,1.0,0.300363,0.471321,0.333333
BASE,구,30140,중구,42,42,1.0,0.597337,0.544504,0.190476
BASE,구,30170,서구,170,170,1.0,0.255209,0.585932,0.441176
BASE,구,30200,유성구,90,90,1.0,0.400708,0.555403,0.255556
BASE,구,30230,대덕구,35,35,1.0,0.297135,0.974828,0.371429
BASE,층대,1층,1층,828,828,1.0,0.435638,0.681465,0.2343
BASE,층대,2층,2층,574,574,1.0,0.368058,0.70672,0.268293
BASE,층대,3층+,3층+,1584,1584,1.0,0.364856,0.514803,0.316919
