층대,유형,도로등급,상권등급,검증거래수,L7성립수,L7커버리지,L7_MdAPE,L7_적중률20,새사다리성립수,새사다리커버리지,새사다리_MdAPE,새사다리_적중률20,기존사다리성립수,기존사다리커버리지,기존사다리_MdAPE,기존사다리_적중률20,짝_새vs기존_거래수,짝_새_MdAPE,짝_기존_MdAPE,짝_새vsBASE_거래수,짝_새_MdAPE2,짝_BASE_MdAPE
2층,골목길·일반상권,골목길,일반상권,35,19,0.542857,0.383581,0.263158,35,1.0,0.407176,0.314286,34,0.971429,0.355959,0.323529,34,0.389025,0.355959,35,0.407176,0.447287
2층,골목길·상권밖,골목길,상권밖,12,0,0.0,,,12,1.0,0.201101,0.5,12,1.0,0.201101,0.5,12,0.201101,0.201101,12,0.201101,0.860322
2층,(유형 없음),,,121,0,0.0,,,115,0.950413,0.330923,0.365217,115,0.950413,0.330923,0.365217,115,0.330923,0.330923,115,0.330923,0.277212
3층+,합계,,,1584,1218,0.768939,0.300383,0.374384,1568,0.989899,0.231797,0.452168,1525,0.962753,0.218515,0.470164,1525,0.227276,0.218515,1568,0.231797,0.363751
3층+,큰길·밀집,큰길,밀집,426,423,0.992958,0.278253,0.340426,426,1.0,0.231129,0.453052,398,0.934272,0.185382,0.527638,398,0.221223,0.185382,426,0.231129,0.291672
3층+,큰길·일반상권,큰길,일반상권,103,98,0.951456,0.168193,0.55102,102,0.990291,0.183238,0.54902,102,0.990291,0.164688,0.578431,102,0.183238,0.164688,102,0.183238,0.203159
3층+,큰길·상권밖,큰길,상권밖,203,187,0.921182,0.244595,0.475936,197,0.970443,0.19618,0.502538,193,0.950739,0.187041,0.512953,193,0.187041,0.187041,197,0.19618,0.348285
3층+,중간·밀집,중간,밀집,257,240,0.933852,0.436224,0.295833,257,1.0,0.172361,0.525292,251,0.976654,0.185923,0.50996,251,0.176715,0.185923,257,0.172361,0.343598
3층+,중간·일반상권,중간,일반상권,102,48,0.470588,0.22114,0.4375,102,1.0,0.51978,0.22549,101,0.990196,0.545,0.267327,101,0.520953,0.545,102,0.51978,0.733894
3층+,중간·상권밖,중간,상권밖,194,178,0.917526,0.379337,0.38764,193,0.994845,0.209902,0.46114,190,0.979381,0.235993,0.421053,190,0.206246,0.235993,193,0.209902,0.369046
3층+,골목길·밀집,골목길,밀집,40,19,0.475,0.415263,0.157895,39,0.975,0.267001,0.307692,39,0.975,0.451357,0.282051,39,0.267001,0.451357,39,0.267001,0.406318
3층+,골목길·일반상권,골목길,일반상권,39,24,0.615385,0.4262,0.208333,39,1.0,0.398688,0.333333,38,0.974359,0.434445,0.368421,38,0.438475,0.434445,39,0.398688,0.455981
3층+,골목길·상권밖,골목길,상권밖,50,1,0.02,0.786551,0.0,50,1.0,0.145262,0.56,50,1.0,0.145262,0.56,50,0.145262,0.145262,50,0.145262,0.950546
3층+,(유형 없음),,,170,0,0.0,,,163,0.958824,0.295345,0.374233,163,0.958824,0.295345,0.374233,163,0.295345,0.295345,163,0.295345,0.389944
